"date","development","business","communication","utilities","uncategorized","news","entertainment","learning","focus","design","shopping","social","personal"
"2022-09-01T11:00:00",1302,1015,563,265,59,40,2,1,,,,,
"2022-09-01T12:00:00",59,51,2645,84,443,,,13,,,,,
"2022-09-01T13:00:00",240,,458,182,120,,919,549,607,,,,
"2022-09-01T14:00:00",,,,,,,336,,56,,,,
"2022-09-01T16:00:00",99,76,90,874,4,,,21,63,,,,
"2022-09-01T17:00:00",2734,15,378,268,21,,84,79,,,,,
"2022-09-01T18:00:00",2901,,248,287,5,,117,17,,,,,
"2022-09-01T19:00:00",744,,3,220,647,,1951,3,,,,,
"2022-09-01T20:00:00",1554,,937,59,610,,49,10,5,,,,
"2022-09-01T22:00:00",7,,20,2,1,,,,,,,,
"2022-09-01T23:00:00",2508,,196,362,226,,,295,,,,,
"2022-09-02T00:00:00",2661,4,,197,3,,,253,,,,,
"2022-09-02T01:00:00",671,4,34,23,,,1625,3,,,,,
"2022-09-02T10:00:00",71,,,186,187,,,21,,,,,
"2022-09-02T11:00:00",1629,,95,409,560,46,3,63,,,,,
"2022-09-02T12:00:00",1526,698,122,268,61,1,15,34,,388,,,
"2022-09-02T13:00:00",30,,170,36,122,,,190,,652,,,
"2022-09-02T14:00:00",427,266,579,511,23,,11,525,,314,259,61,
"2022-09-02T15:00:00",76,6,195,754,277,2,225,334,,2,,,
"2022-09-02T16:00:00",4,,79,629,321,,1729,251,,,14,,
"2022-09-02T17:00:00",1372,,2153,1,47,,,24,,,,,
"2022-09-02T18:00:00",14,,3253,60,78,49,3,82,,,,,
"2022-09-02T19:00:00",88,,888,53,330,,86,34,,,,,
"2022-09-02T20:00:00",352,,690,103,737,,,22,6,,,,
"2022-09-02T22:00:00",742,,28,421,773,,811,,,,,,
"2022-09-02T23:00:00",,,,,,,3062,,,,,,
"2022-09-03T20:00:00",11,,,100,550,,4,6,,,812,,
"2022-09-04T12:00:00",,,,174,333,,,248,,,,,
"2022-09-04T13:00:00",,,,,,,,75,,,,,
"2022-09-04T16:00:00",,,70,2511,,,,7,,,,,
"2022-09-04T17:00:00",,,81,1541,88,,,22,,,351,,
"2022-09-04T18:00:00",9,,313,,85,,,,,,446,,
"2022-09-05T10:00:00",14,62,1538,114,23,,19,320,,,9,,
"2022-09-05T11:00:00",1757,,1316,38,380,,66,24,,,,,
"2022-09-05T12:00:00",653,293,150,,242,,618,,,,,,
"2022-09-05T13:00:00",17,2,810,58,25,,1562,409,,,,,
"2022-09-05T14:00:00",756,,2313,181,9,,170,164,,,,,
"2022-09-05T15:00:00",,60,737,13,2,,2766,15,,,,,
"2022-09-05T16:00:00",1339,19,161,102,8,,1800,165,,,,,
"2022-09-05T17:00:00",688,,644,978,1212,,17,40,,,,,
"2022-09-05T18:00:00",254,,1108,352,968,,,2,,,,,
"2022-09-05T19:00:00",,,200,22,,,,300,,,,,
"2022-09-05T20:00:00",,,198,567,35,,,4,,,,250,
"2022-09-05T21:00:00",1161,1,831,17,523,,249,,,,,,
"2022-09-05T22:00:00",6,984,54,2,17,,,186,,,,,
"2022-09-05T23:00:00",,1224,616,117,536,,167,184,,,,,
"2022-09-06T00:00:00",,,11,,,,322,,,,,,
"2022-09-06T10:00:00",106,1,403,114,178,,766,51,,,134,,
"2022-09-06T11:00:00",103,254,103,244,367,,2315,103,,92,,,
"2022-09-06T12:00:00",697,69,203,15,105,,2424,,,,,,
"2022-09-06T13:00:00",310,,699,27,15,,1893,197,,,,,
"2022-09-06T14:00:00",1226,,69,295,373,,668,116,,,,32,
"2022-09-06T15:00:00",1173,,160,587,724,,26,186,,,,,
"2022-09-06T16:00:00",99,,2794,74,416,,,45,,,168,,
"2022-09-06T17:00:00",63,,3413,69,55,,,,,,,,
"2022-09-06T18:00:00",58,,3417,121,3,,,,,,,,
"2022-09-06T19:00:00",,,511,519,,,,,,,,,
"2022-09-06T20:00:00",5,,500,129,145,,11,1,,,2,,
"2022-09-06T21:00:00",8,362,616,760,36,,429,,,,,,
"2022-09-06T22:00:00",16,,202,635,,,987,2,,,,,
"2022-09-06T23:00:00",,,245,199,9,34,2478,242,,,,,
"2022-09-07T00:00:00",2,,151,,,,1990,,,,,,
"2022-09-07T10:00:00",131,3,371,274,240,,139,581,,1040,,,
"2022-09-07T11:00:00",96,,526,97,189,91,17,607,,1418,,168,
"2022-09-07T12:00:00",923,,632,282,242,,134,434,,300,,20,
"2022-09-07T13:00:00",1487,,676,281,89,,79,61,,484,,2,
"2022-09-07T14:00:00",65,,362,339,18,,,892,,1902,,,
"2022-09-07T15:00:00",119,,1047,329,25,,6,316,,480,,36,
"2022-09-07T16:00:00",584,,68,35,867,16,,110,,,,3,
"2022-09-07T17:00:00",523,,944,317,153,,,1,,,,,
"2022-09-07T18:00:00",23,192,428,638,280,,823,1,,113,,,
"2022-09-07T19:00:00",25,,807,373,608,,1376,272,,,,129,
"2022-09-07T20:00:00",497,2,1289,149,518,,497,49,,,,7,
"2022-09-07T21:00:00",2,,190,,40,,,21,,4,,,
"2022-09-07T22:00:00",,140,616,120,347,,144,195,,,,16,
"2022-09-07T23:00:00",,,10,,55,,215,,,,,,
"2022-09-08T09:00:00",,,310,4,,,,,,,,,
"2022-09-08T10:00:00",345,,395,660,135,,524,116,,,,,
"2022-09-08T11:00:00",1122,,497,1562,281,,6,72,,,,,
"2022-09-08T12:00:00",72,72,3153,126,60,69,,35,,,,,
"2022-09-08T13:00:00",437,,1008,630,596,,35,24,,,143,,
"2022-09-08T14:00:00",22,,963,736,294,,618,492,,,223,,122
"2022-09-08T15:00:00",431,,311,690,744,,1065,2,,,3,,
"2022-09-08T16:00:00",1044,,379,459,231,,729,56,,,,,
"2022-09-08T17:00:00",,,74,404,169,,17,30,,,,,
"2022-09-08T18:00:00",755,,420,1947,182,,74,204,,,,,
"2022-09-08T19:00:00",37,,140,322,177,,166,619,,2128,,,
"2022-09-08T20:00:00",105,,1670,155,2,,,18,,59,,,
"2022-09-08T21:00:00",60,,436,320,482,9,482,48,,246,,10,
"2022-09-08T22:00:00",,,245,1,15,,1129,,,,,,390
"2022-09-08T23:00:00",11,,145,168,12,,587,608,,674,,54,159
"2022-09-09T00:00:00",75,,578,313,8,,1247,736,,591,,27,
"2022-09-09T01:00:00",1,,37,22,,,2570,,,,,,
"2022-09-09T10:00:00",719,,74,387,1,,569,,,,,,
"2022-09-09T11:00:00",137,,1683,388,57,,830,,,,,,
"2022-09-09T12:00:00",1494,,134,1418,315,,67,109,,,,,
"2022-09-09T13:00:00",63,,49,627,66,,104,2,,,,,
"2022-09-09T14:00:00",203,,709,138,118,,245,109,,,,,
"2022-09-09T15:00:00",,,870,414,48,,2053,,,,,,
"2022-09-09T16:00:00",30,,806,44,253,,766,43,,,,,
"2022-09-09T17:00:00",,,,798,33,,1927,,,,,,
"2022-09-09T18:00:00",1,104,50,1385,93,,915,2,,,,,
"2022-09-09T19:00:00",51,,78,1779,,,5,,,,,,
"2022-09-09T20:00:00",2,2,66,43,,,1054,6,,,,,
"2022-09-09T22:00:00",,,126,47,41,,975,13,,,,,
"2022-09-09T23:00:00",,,222,12,,,2790,,,,,6,
"2022-09-10T00:00:00",,,164,176,,,2243,,,,,20,
"2022-09-10T01:00:00",,,202,717,,,2371,,,,,,
"2022-09-10T02:00:00",106,,74,590,3,,805,,,,,,
"2022-09-10T10:00:00",,,286,127,3,,1435,6,,,,,
"2022-09-10T11:00:00",,,14,1112,,,1864,,,,,,
"2022-09-10T12:00:00",,,3,477,25,,2231,126,,,149,,
"2022-09-10T13:00:00",,,37,174,,,1947,23,,,,,
"2022-09-10T14:00:00",7,,7,158,1,,68,203,,,,,
"2022-09-10T15:00:00",,,311,18,268,,260,141,,,698,,
"2022-09-10T19:00:00",,,13,82,1,,1515,,,,36,,
"2022-09-10T20:00:00",,,,21,,,168,,,,,,
"2022-09-10T21:00:00",,,,738,,,,,,,,,
"2022-09-11T10:00:00",,,147,24,7,,256,,,,4,,
"2022-09-11T11:00:00",,,60,73,136,,2553,60,,,476,195,
"2022-09-11T12:00:00",,,151,43,69,,478,392,,,1437,29,
"2022-09-11T13:00:00",,,192,16,85,,2085,5,,,,5,
"2022-09-11T14:00:00",6,,781,405,412,9,1590,66,,,,143,
"2022-09-11T15:00:00",,,33,239,,,3213,,,,,10,
"2022-09-11T16:00:00",,,246,28,,,2696,368,,,,,
"2022-09-11T17:00:00",,,515,39,292,,,228,,,130,458,
"2022-09-11T18:00:00",,,17,324,8,,,,,,,,
"2022-09-11T19:00:00",303,232,1607,265,357,227,240,119,,,,,
"2022-09-11T20:00:00",23,2,463,234,702,31,108,,,,,,7
"2022-09-11T21:00:00",9,,68,25,174,,232,,,,,,3
"2022-09-11T22:00:00",,,1159,83,33,,101,135,,185,,319,
"2022-09-11T23:00:00",,,1478,132,13,853,667,6,,338,,78,
"2022-09-12T00:00:00",7,,677,35,221,,1608,59,,,,,
"2022-09-12T01:00:00",,,88,35,357,,963,,,5,,,
"2022-09-12T10:00:00",1428,,264,249,152,,237,98,,15,,,
"2022-09-12T11:00:00",2411,,1,389,4,,190,258,,2,,,
"2022-09-12T12:00:00",2434,,68,86,,,804,7,,,,,
"2022-09-12T13:00:00",1677,,882,454,59,,27,281,,3,,,
"2022-09-12T14:00:00",987,,1043,355,106,,1001,2,,,,,
"2022-09-12T15:00:00",,,322,81,,,2423,4,,,,,
"2022-09-12T16:00:00",409,,259,139,369,,1439,172,,,,,
"2022-09-12T17:00:00",935,1,1071,14,62,,,34,,,,,
"2022-09-12T18:00:00",174,,1700,97,204,,542,142,,9,,,
"2022-09-12T19:00:00",91,,2316,121,493,,82,139,,,,,
"2022-09-12T20:00:00",,,815,8,278,,26,9,,,,,
"2022-09-12T21:00:00",61,,357,451,161,49,1179,15,,,,,
"2022-09-12T22:00:00",207,,182,133,9,,2153,,,5,,,
"2022-09-12T23:00:00",,,139,20,,,2230,120,,624,,,
"2022-09-13T00:00:00",3,,766,110,,,1243,289,,869,,308,
"2022-09-13T01:00:00",104,,139,154,34,,1703,109,,165,,,
"2022-09-13T10:00:00",,,,191,,,1222,4,,17,,32,
"2022-09-13T11:00:00",,,558,,5,,598,476,,3,,,
"2022-09-13T12:00:00",139,371,1063,347,528,,22,352,,104,,,
"2022-09-13T13:00:00",5,19,245,137,71,,544,577,,1809,,,
"2022-09-13T14:00:00",7,,155,201,33,,701,5,,423,,,
"2022-09-13T15:00:00",5,,66,139,42,,,1091,,2244,,,
"2022-09-13T16:00:00",2,26,193,184,22,,,972,,2192,,,
"2022-09-13T17:00:00",58,1,458,536,281,,246,547,,1263,,,
"2022-09-13T18:00:00",271,,1500,99,58,,28,,,11,,,
"2022-09-13T19:00:00",72,,2241,358,72,,603,19,,,,74,
"2022-09-13T20:00:00",230,,2163,139,139,107,16,62,,,,,
"2022-09-13T21:00:00",58,,395,214,132,3,,46,,,,,
"2022-09-13T22:00:00",7,,28,88,50,,1465,,,,,135,
"2022-09-13T23:00:00",4,,701,254,11,3,2340,,,3,,,
"2022-09-14T00:00:00",,,405,128,,,2730,4,,,,,
"2022-09-14T01:00:00",,,,97,,,930,,,,,,
"2022-09-14T10:00:00",670,,269,96,183,45,140,113,,,,,
"2022-09-14T11:00:00",1055,,6,,4,,,19,,,,,
"2022-09-14T14:00:00",29,,1287,101,2,,,728,,,,,
"2022-09-14T15:00:00",,,612,164,344,,,1085,,,,,
"2022-09-14T16:00:00",,,308,73,582,,2307,174,,,101,50,
"2022-09-14T17:00:00",11,,7,478,238,,1341,831,,,85,,
"2022-09-14T18:00:00",,51,301,6,53,,,5,,,404,,
"2022-09-15T14:00:00",9,,374,140,328,74,28,7,,,,25,
"2022-09-15T15:00:00",96,5,1836,98,401,11,232,148,,,,369,
"2022-09-15T16:00:00",,,3486,112,2,,,,,,,,
"2022-09-15T17:00:00",63,,1734,198,667,13,15,612,,,,247,
"2022-09-15T18:00:00",84,,737,630,351,,46,690,,,,402,
"2022-09-15T19:00:00",83,,1506,209,3,,,15,,,,52,
"2022-09-15T20:00:00",1,,2947,19,54,,,16,,,,179,
"2022-09-15T21:00:00",2,,2141,314,22,,153,5,,,,506,
"2022-09-15T22:00:00",8,,884,75,462,,,440,,,,55,
"2022-09-15T23:00:00",367,,80,57,177,,1237,162,,,,,
"2022-09-16T00:00:00",,,1343,11,24,,1618,1,,,,,
"2022-09-16T01:00:00",320,,378,351,28,,1706,10,,,,,
"2022-09-16T02:00:00",94,,12,154,,,389,,,,,,
"2022-09-16T19:00:00",16,,12,88,18,,,36,,,,,
"2022-09-16T20:00:00",292,484,84,169,131,,52,70,,,,102,
"2022-09-16T21:00:00",,,116,3,300,,73,,,,,202,
"2022-09-16T22:00:00",518,,238,307,3,,2487,39,,,,,
"2022-09-16T23:00:00",25,,588,479,5,,2058,359,,,,,
"2022-09-17T00:00:00",124,,182,833,,,2327,6,,,,,
"2022-09-17T01:00:00",,,22,,,,17,,,,,,
"2022-09-17T09:00:00",667,,71,212,56,,1073,82,,,,,
"2022-09-17T10:00:00",1514,10,403,435,,,906,20,,34,,,
"2022-09-17T11:00:00",18,,286,321,14,,353,1596,,435,,,
"2022-09-17T12:00:00",146,,151,85,,,55,1043,,1867,,,
"2022-09-17T13:00:00",49,,143,,,,823,382,,2176,,,
"2022-09-17T14:00:00",7,,45,364,,,2257,363,,264,,8,
"2022-09-17T15:00:00",3,,435,51,8,,564,164,,1471,,,
"2022-09-17T16:00:00",141,93,105,98,5,,2039,418,,,,,
"2022-09-17T17:00:00",,6,26,126,2,,133,648,,2384,,,
"2022-09-17T18:00:00",,133,457,710,29,,146,483,,962,,,
"2022-09-17T19:00:00",173,,323,250,52,,2184,,,8,,,
"2022-09-17T20:00:00",,,35,20,,,2597,,,,,,
"2022-09-17T22:00:00",,,62,,,,3029,,,,,,
"2022-09-17T23:00:00",,1,506,39,,16,1453,289,,807,,,
"2022-09-18T00:00:00",,,891,24,,118,994,23,,1541,,,
"2022-09-18T01:00:00",,,1324,227,599,46,483,880,,3,,,
"2022-09-18T02:00:00",16,,1222,94,974,17,1,448,,11,,,
"2022-09-18T09:00:00",,,,,,,,,,123,,,
"2022-09-18T10:00:00",213,,30,116,,,2147,79,,680,,,
"2022-09-18T11:00:00",4,6,147,46,1,,407,159,,1338,,,
"2022-09-18T12:00:00",,5,,113,,,5,569,,2900,,,
"2022-09-18T13:00:00",89,,,33,,,1525,20,,1266,,,
"2022-09-18T14:00:00",,,25,12,,,1758,64,,212,,,
"2022-09-18T15:00:00",,,23,1,,,2098,9,,593,,,
"2022-09-18T16:00:00",290,,1088,171,202,,65,304,,1439,,,
"2022-09-18T17:00:00",5,,350,36,2,,300,45,,,,,
"2022-09-18T18:00:00",,,132,7,,,924,,,4,,,
"2022-09-18T19:00:00",,,14,22,,,1620,,,,,,
"2022-09-18T20:00:00",617,,,,,,296,,,,,,
"2022-09-18T21:00:00",271,,20,50,,,2051,,,,,,
"2022-09-18T22:00:00",645,,85,968,141,,393,141,,39,,,
"2022-09-18T23:00:00",410,,123,689,5,,1566,,,3,,,
"2022-09-19T00:00:00",63,,320,2183,,,558,,,,,,
"2022-09-19T01:00:00",11,74,238,345,7,,2846,74,,,,,
"2022-09-19T02:00:00",30,2,309,472,4,,2749,28,,,,,
"2022-09-19T03:00:00",3,,,837,3,,35,,,,,,
"2022-09-19T10:00:00",588,,18,74,,,2149,9,,,,,
"2022-09-19T11:00:00",314,,306,479,4,,1605,67,,,,,
"2022-09-19T12:00:00",154,,809,106,40,,71,127,,1500,,,
"2022-09-19T13:00:00",433,,1777,520,197,,257,80,,16,,,
"2022-09-19T14:00:00",589,,1415,324,47,,652,111,,,,,
"2022-09-19T15:00:00",1367,1,68,201,55,,1037,9,,,,,
"2022-09-19T16:00:00",215,,826,615,169,,487,219,,,,17,
"2022-09-19T17:00:00",330,,1371,232,25,,315,120,,,,995,
"2022-09-19T18:00:00",881,,2262,179,98,,2,130,,19,,,
"2022-09-19T19:00:00",,,3189,17,,,,,,,,,
"2022-09-19T20:00:00",129,,1364,10,46,,1513,7,,30,,,
"2022-09-19T21:00:00",26,15,805,17,545,,887,205,,,,,
"2022-09-19T22:00:00",129,178,486,709,208,,1025,15,,14,,109,
"2022-09-19T23:00:00",522,225,322,218,183,,15,28,,,,,178
"2022-09-20T00:00:00",661,,350,223,,,383,,,27,,25,
"2022-09-20T01:00:00",181,,,29,1,,1300,,,,,,
"2022-09-20T02:00:00",1055,,1,887,,,1030,,,,,,
"2022-09-20T03:00:00",658,,2,29,,,170,,,,,,
"2022-09-20T09:00:00",45,,596,23,64,,1104,,,,,81,
"2022-09-20T10:00:00",798,,,,,,450,,,,,,
"2022-09-20T11:00:00",1183,,282,367,215,,295,13,,,,,
"2022-09-20T12:00:00",1989,,152,456,82,,376,36,,,,,
"2022-09-20T13:00:00",1029,,194,87,693,,30,179,,,,,
"2022-09-20T14:00:00",1950,,371,39,4,,601,538,,,,76,
"2022-09-20T15:00:00",399,,1441,132,251,,,110,,,,,
"2022-09-20T16:00:00",734,,1059,302,129,,180,,,,,,
"2022-09-20T17:00:00",1179,2,924,149,176,,166,4,,,,,
"2022-09-20T18:00:00",220,,107,8,15,,1522,,,,,14,
"2022-09-20T20:00:00",93,,3135,214,23,,,3,,77,,,
"2022-09-20T21:00:00",53,,1087,352,336,174,1016,47,,,,,
"2022-09-20T22:00:00",42,19,328,199,,,2870,,,,,138,
"2022-09-20T23:00:00",,,354,2,1,,494,,,,,388,
"2022-09-21T00:00:00",8,,230,,2,,2223,,,,,,
"2022-09-21T01:00:00",2,,52,413,,,3128,,,,,3,
"2022-09-21T02:00:00",,,18,995,,,12,,,,,,
"2022-09-21T10:00:00",168,,728,220,2,,1104,339,,,,75,
"2022-09-21T11:00:00",74,,385,136,160,,,1304,,,792,721,
"2022-09-21T12:00:00",,8,586,327,200,,,990,,,,117,
"2022-09-21T13:00:00",1061,1,726,354,202,,386,649,,,,4,
"2022-09-21T14:00:00",406,,435,1782,4,,52,9,,,,,
"2022-09-21T15:00:00",26,,145,952,,,1751,,,,,,
"2022-09-21T18:00:00",,,68,96,,,,,,,,,
"2022-09-21T19:00:00",451,,1184,82,33,54,1457,7,,,,,
"2022-09-21T20:00:00",1083,,159,22,,,168,,,,,,
"2022-09-21T21:00:00",1015,,200,31,52,,839,29,,,,,
"2022-09-21T22:00:00",2815,,168,36,347,,31,11,,,,,
"2022-09-21T23:00:00",3391,,118,16,,,27,23,,,,,
"2022-09-22T00:00:00",2428,4,130,244,392,,209,63,,,,17,
"2022-09-22T01:00:00",142,,,27,377,,1524,,,,,,
"2022-09-22T02:00:00",8,,,41,,,4,,,,,,
"2022-09-22T19:00:00",104,,725,153,153,,,6,,,,,
"2022-09-22T20:00:00",184,1,1702,95,113,180,1246,9,,,,59,
"2022-09-22T21:00:00",218,,239,88,8,,1837,266,,,,,
"2022-09-23T09:00:00",18,,146,722,5,,174,,,,,,
"2022-09-23T10:00:00",36,,237,560,5,,2479,,,,,,
"2022-09-23T11:00:00",121,,290,291,,,2857,,,,,,
"2022-09-23T12:00:00",86,,47,,,,755,,,,,,
"2022-09-23T13:00:00",,,,83,29,,858,219,,,,40,
"2022-09-23T14:00:00",,,282,,,,3315,,,,,,
"2022-09-23T15:00:00",29,,509,53,2,,2109,18,,,,,
"2022-09-23T16:00:00",407,,130,,,,2172,,,,,,
"2022-09-23T17:00:00",16,,702,103,,,2047,9,,,,,
"2022-09-23T18:00:00",2135,,810,177,415,,9,2,,,,,
"2022-09-23T19:00:00",2015,,218,366,36,,941,,,,,,
"2022-09-23T20:00:00",6,,555,278,21,,2,,,,,8,
"2022-09-23T21:00:00",43,,68,274,7,,2896,,,,,1,
"2022-09-23T22:00:00",41,,637,155,,,2447,,,,,,
"2022-09-23T23:00:00",50,,188,,,,3270,,,,,,
"2022-09-24T00:00:00",127,,1054,262,2,,1090,,,,,,
"2022-09-24T01:00:00",94,,1021,68,38,,975,12,,,,232,
"2022-09-24T02:00:00",,,1440,208,1168,,,736,,,,,
"2022-09-24T03:00:00",,,5,14,438,,108,348,,,,1077,
"2022-09-24T09:00:00",,,70,106,1003,,1047,109,,,,,
"2022-09-24T10:00:00",541,,358,295,613,,1202,3,57,,,,
"2022-09-24T11:00:00",288,,30,92,14,,1313,188,1621,,,,
"2022-09-24T12:00:00",549,,29,221,32,,2005,26,16,,,,
"2022-09-24T13:00:00",280,,66,328,194,,1057,134,7,1303,,,
"2022-09-24T14:00:00",413,,128,141,10,67,1803,92,,264,,,
"2022-09-24T15:00:00",737,,96,115,22,12,2269,89,83,92,,,
"2022-09-24T16:00:00",,,,,,,67,237,,,,,
"2022-09-24T17:00:00",566,,351,164,27,,735,393,105,,,,
"2022-09-24T18:00:00",29,,123,42,,,1197,35,313,,,,
"2022-09-24T19:00:00",187,,782,102,1022,102,37,721,,,,,
"2022-09-24T20:00:00",63,,128,108,265,8,1483,694,10,,,,
"2022-09-24T21:00:00",1,,,,1,,11,,,,,,
"2022-09-24T22:00:00",70,,59,74,12,,1758,5,89,,,136,
"2022-09-24T23:00:00",,,2092,89,986,,62,322,,,,,13
"2022-09-25T00:00:00",188,19,893,27,1956,,,467,,,,1,2
"2022-09-25T01:00:00",312,101,465,1100,8,,1207,,2,,,,
"2022-09-25T02:00:00",,,,1052,,,,,,,,,
"2022-09-25T12:00:00",,,,2793,128,,228,24,,,110,,
"2022-09-25T13:00:00",,,,1129,35,,,,,,3,,
"2022-09-25T14:00:00",,,,1218,,,,,,,,,
"2022-09-25T22:00:00",,,173,70,352,,348,,,,2,,
"2022-09-25T23:00:00",,,645,129,263,,697,10,,,,,
"2022-09-26T00:00:00",456,,43,1267,11,,1271,,,,,289,
"2022-09-26T01:00:00",375,,241,1032,1,,1185,,,,,56,
"2022-09-26T02:00:00",229,,,161,,166,2788,,,,,,
"2022-09-26T03:00:00",83,,,910,,,307,,,,,,
"2022-09-26T09:00:00",173,,124,591,24,,82,92,,,,,
"2022-09-26T10:00:00",354,,164,907,296,8,1502,60,,,96,,
"2022-09-26T11:00:00",,,,,,,361,,,,,,
"2022-09-26T12:00:00",2,439,25,31,11,,455,30,,,,,
"2022-09-26T13:00:00",26,20,1271,98,421,,477,708,,,,402,
"2022-09-26T14:00:00",491,140,1760,90,514,,49,512,,,,,
"2022-09-26T15:00:00",,434,1943,77,456,,82,482,,,110,,
"2022-09-26T16:00:00",15,11,1115,140,99,,1638,565,,,3,,
"2022-09-26T17:00:00",879,17,199,261,434,,841,329,,,,,
"2022-09-26T18:00:00",1204,1,658,160,164,,162,60,,1149,,,
"2022-09-26T19:00:00",19,,1280,,7,,,33,,2244,,,
"2022-09-26T20:00:00",612,,879,35,114,,1402,,,4,,,
"2022-09-26T21:00:00",199,,285,44,29,,1980,,,,,,
"2022-09-26T22:00:00",,,20,,,,2157,,,,,,
"2022-09-26T23:00:00",95,,6,2656,,,421,,,,,,
"2022-09-27T00:00:00",45,,262,3,,,1926,,,,,,
"2022-09-27T01:00:00",2405,,531,291,7,,9,,,,,,
"2022-09-27T02:00:00",3008,1,34,182,300,,,24,,,,,
"2022-09-27T03:00:00",1425,,,96,27,,36,,,,,,
"2022-09-27T10:00:00",151,,106,11,80,,1458,,,,,,
"2022-09-27T11:00:00",32,,127,2,2,,2799,,,,,,
"2022-09-27T12:00:00",22,,,,,,452,,,,,,
"2022-09-27T13:00:00",12,,185,19,,,2279,41,3,,,238,
"2022-09-27T14:00:00",371,1,299,219,,,1324,37,,25,,4,
"2022-09-27T15:00:00",160,,383,60,5,61,538,224,6,,,,
"2022-09-27T16:00:00",666,,375,175,63,4,990,129,4,,,234,
"2022-09-27T17:00:00",637,,492,35,5,,1213,,,,,31,
"2022-09-27T18:00:00",7,,433,109,150,,2699,118,,,58,,
"2022-09-27T19:00:00",1239,,26,15,617,,38,23,,,,149,
"2022-09-27T20:00:00",165,,31,1,198,50,,23,,,,5,
"2022-09-27T21:00:00",,,32,237,303,,1422,,,,,,
"2022-09-27T22:00:00",292,118,104,491,539,,1295,298,,,304,,137
"2022-09-27T23:00:00",219,196,490,9,51,152,1675,743,,,,,36
"2022-09-28T00:00:00",801,,548,280,,,1728,39,,,,,
"2022-09-28T01:00:00",189,,109,1300,3,,1088,12,,224,,,
"2022-09-28T02:00:00",,,,1134,,,2149,,,,,,
"2022-09-28T20:00:00",3,61,,810,5,,,,,,9,,
"2022-09-28T21:00:00",267,2,427,1559,82,,132,37,,56,344,,
"2022-09-28T22:00:00",150,4,864,1226,99,,883,298,,,72,,
"2022-09-28T23:00:00",509,,1199,448,78,,214,220,,,21,,
"2022-09-29T00:00:00",910,,777,456,144,,378,31,,,181,,76
"2022-09-29T09:00:00",1072,,163,220,53,18,949,255,,,22,,
"2022-09-29T10:00:00",202,,309,60,129,3,1,23,,1502,68,,
"2022-09-29T11:00:00",266,110,1629,141,740,,194,453,,65,,,
"2022-09-29T12:00:00",1307,,1083,383,207,37,186,67,,,,,
"2022-09-29T13:00:00",729,,2233,254,33,269,64,16,,,,,
"2022-09-29T14:00:00",776,,1437,131,260,,135,195,,,30,,
"2022-09-29T15:00:00",589,,256,61,4,,2151,11,,218,,,
"2022-09-29T16:00:00",208,,253,,,,674,,,2,,,
"2022-09-29T18:00:00",742,,1635,672,286,,7,25,,,,,
"2022-09-29T19:00:00",156,,582,66,,,,,,,,,
"2022-09-29T20:00:00",67,,1483,556,,,164,,,,,,
"2022-09-29T21:00:00",749,,562,264,330,,1228,226,,,239,,
"2022-09-29T22:00:00",890,163,726,205,157,,97,115,,380,83,,34
"2022-09-29T23:00:00",1445,393,536,126,466,,45,96,,,402,,
"2022-09-30T00:00:00",2626,22,335,306,64,8,161,61,,,,,
"2022-09-30T01:00:00",902,,62,268,533,,228,39,,,,48,
"2022-09-30T02:00:00",57,,83,37,14,,12,2,,,,,
"2022-09-30T11:00:00",,,116,8,,,166,,,,,,
"2022-09-30T12:00:00",,,,11,,,603,,,,,,29
"2022-09-30T13:00:00",287,8,,236,,,2,14,,,,,
"2022-09-30T21:00:00",,218,428,299,33,,,428,,,15,,
"2022-09-30T22:00:00",,3,117,953,135,,,39,,,,,
"2022-09-30T23:00:00",9,,93,794,,,,6,,,154,,